15.512954 1:0.529997 2:0.359809 3:0.258000 4:0.056763 5:0.083074 6:0.208826 7:0.251000 8:0.042990 9:0.091888 10:0.188866 11:0.244000 12:-0.012828 13:0.141369 14:0.112612 15:0.245000 16:-0.014881 17:0.142969 18:0.109851 19:0.671995 20:0.496966 21:0.311999 22:0.008675 23:0.258789 24:0.281289 25:0.305999 26:-0.007528 27:0.272066 28:0.252505 29:0.302999 30:-0.044931 31:0.306246 32:0.192215 33:0.303999 34:-0.047449 35:0.304530 36:0.185563 37:0.018470 38:4.945538 39:0.325247 40:-0.245835 41:0.504753 42:0.233333 
24.090256 1:0.379998 2:0.223512 3:0.200000 4:0.048544 5:0.025623 6:0.125014 7:0.200000 8:0.016202 9:0.046437 10:0.078441 11:0.200000 12:0.002332 13:0.050007 14:0.054250 15:0.200000 16:0.000149 17:0.051533 18:0.051803 19:0.503997 20:0.353462 21:0.247000 22:0.040602 23:0.111175 24:0.211317 25:0.240000 26:-0.027903 27:0.189522 28:0.119615 29:0.237000 30:-0.018497 31:0.161905 32:0.117123 33:0.238000 34:-0.027776 35:0.171518 36:0.105139 37:0.012310 38:4.042039 39:0.302775 40:-0.137275 41:0.625425 42:0.127778 
68.990860 1:0.355999 2:0.187290 3:0.200000 4:0.044499 5:0.017455 6:0.095786 7:0.200000 8:0.019253 9:0.033194 10:0.067047 11:0.200000 12:0.004689 13:0.033446 14:0.040631 15:0.200000 16:0.006028 17:0.032261 18:0.041470 19:0.475997 20:0.307345 21:0.235000 22:0.032063 23:0.097791 24:0.174679 25:0.222000 26:0.003886 27:0.122737 28:0.132458 29:0.221000 30:-0.028936 31:0.138890 32:0.073327 33:0.221000 34:-0.020809 35:0.128111 36:0.081028 37:0.012939 38:4.726559 39:0.293218 40:0.138047 41:0.417576 42:0.127778 
74.397949 1:0.286000 2:0.125066 3:0.200000 4:0.043311 5:0.004685 6:0.058125 7:0.200000 8:0.035855 9:0.005370 10:0.046745 11:0.200000 12:0.017710 13:0.008270 14:0.026092 15:0.200000 16:0.017812 17:0.008230 18:0.026154 19:0.364999 20:0.215952 21:0.200000 22:0.022286 23:0.059668 24:0.110958 25:0.200000 26:0.023715 27:0.051426 28:0.103236 29:0.200000 30:-0.016710 31:0.080941 32:0.047478 33:0.200000 34:-0.016033 35:0.080504 36:0.048322 37:0.010763 38:4.069871 39:0.277435 40:1.104895 41:0.407974 42:0.061111 
69.229218 1:0.340999 2:0.171460 3:0.200000 4:0.043543 5:0.013774 6:0.084640 7:0.200000 8:0.024906 9:0.020691 10:0.059109 11:0.200000 12:0.010170 13:0.022863 14:0.036767 15:0.200000 16:0.011625 17:0.021797 18:0.037627 19:0.466997 20:0.295030 21:0.233000 22:0.040289 23:0.077795 24:0.170085 25:0.219000 26:0.005719 27:0.110934 28:0.124908 29:0.217000 30:-0.024555 31:0.124050 32:0.069612 33:0.217000 34:-0.017386 35:0.115159 36:0.076609 37:0.012816 38:4.726574 39:0.289517 40:0.138893 41:0.420573 42:0.127778 
53.578732 1:0.332999 2:0.185107 3:0.200000 4:0.039062 5:0.027770 6:0.103908 7:0.200000 8:0.013757 9:0.047212 10:0.074049 11:0.200000 12:-0.009189 13:0.053970 14:0.038294 15:0.200000 16:-0.009343 17:0.054896 18:0.038832 19:0.418998 20:0.279077 21:0.214000 22:0.019336 23:0.102835 24:0.153229 25:0.206000 26:-0.003882 27:0.129975 28:0.119456 29:0.207000 30:-0.034472 31:0.143159 32:0.060953 33:0.206000 34:-0.032313 35:0.142565 36:0.064304 37:0.010790 38:4.104067 39:0.343177 40:1.210803 41:0.269185 42:0.027778 
39.376675 1:0.439998 2:0.312437 3:0.221000 4:0.048257 5:0.071978 6:0.192027 7:0.214000 8:0.005035 9:0.124612 10:0.137962 11:0.209000 12:-0.012630 13:0.117868 14:0.087454 15:0.209000 16:-0.017604 17:0.125659 18:0.083030 19:0.589996 20:0.460372 21:0.278000 22:0.008688 23:0.239604 24:0.263695 25:0.277000 26:-0.044956 27:0.313661 28:0.189532 29:0.272000 30:-0.031891 31:0.259537 32:0.175932 33:0.272000 34:-0.034154 35:0.263011 36:0.173435 37:0.017062 38:3.522776 39:0.515956 40:-0.018978 41:0.794263 42:0.094444 
43.422600 1:0.337999 2:0.198217 3:0.200000 4:0.026193 5:0.038924 6:0.091023 7:0.200000 8:0.031130 9:0.035545 10:0.097731 11:0.200000 12:0.000051 13:0.047896 14:0.047986 15:0.200000 16:0.001205 17:0.046911 18:0.049015 19:0.451997 20:0.333200 21:0.221000 22:-0.000770 23:0.155024 24:0.152896 25:0.224000 26:0.007937 27:0.148625 28:0.170593 29:0.217000 30:-0.023957 31:0.166041 32:0.103214 33:0.217000 34:-0.021773 35:0.162999 36:0.105871 37:0.020384 38:4.215209 39:0.478412 40:-0.152520 41:0.662888 42:0.150000 
34.802952 1:0.301999 2:0.144394 3:0.200000 4:0.023330 5:0.025040 6:0.063119 7:0.200000 8:0.023915 9:0.020526 10:0.056928 11:0.200000 12:-0.006862 13:0.036839 14:0.027088 15:0.200000 16:0.004109 17:0.027216 18:0.032888 19:0.368999 20:0.232554 21:0.200000 22:0.010788 23:0.093455 24:0.121596 25:0.200000 26:-0.001527 27:0.097112 28:0.093355 29:0.200000 30:-0.025025 31:0.106681 32:0.051469 33:0.200000 34:-0.019489 35:0.101627 36:0.058131 37:0.013323 38:4.512712 39:0.233361 40:0.773461 41:0.681389 42:0.250000 
46.684097 1:0.388998 2:0.236771 3:0.200000 4:0.018177 5:0.067889 6:0.110897 7:0.200000 8:0.035073 9:0.050617 10:0.133068 11:0.200000 12:-0.019788 13:0.087196 14:0.046835 15:0.200000 16:-0.012252 17:0.076911 18:0.052208 19:0.513997 20:0.352734 21:0.247000 22:-0.008851 23:0.197459 24:0.173755 25:0.250000 26:0.015982 27:0.177808 28:0.221604 29:0.247000 30:-0.070396 31:0.232675 32:0.069405 33:0.245000 34:-0.053668 35:0.213124 36:0.086033 37:0.013956 38:4.775408 39:0.270727 40:-0.296993 41:0.541461 42:0.211111 
45.679489 1:0.339999 2:0.196044 3:0.200000 4:0.029821 5:0.032618 6:0.089685 7:0.200000 8:0.020288 9:0.047987 10:0.089958 11:0.200000 12:0.000890 13:0.046977 14:0.048529 15:0.200000 16:-0.008842 17:0.059520 18:0.043564 19:0.458997 20:0.322931 21:0.224000 22:-0.012098 23:0.162196 24:0.130181 25:0.226000 26:0.001108 27:0.159242 28:0.162288 29:0.220000 30:-0.030661 31:0.166614 32:0.089783 33:0.219000 34:-0.022360 35:0.158333 36:0.101330 37:0.016457 38:4.070837 39:0.445900 40:-0.181763 41:0.551381 42:0.094444 
